original_commit_hash,bundle_commit_hash,short_hash,commit_msg_subject
1ffe5d7c0af69ede0259de05c3686e320c71619c,1021d73bbf30f1e1068e277a7c88da1491710a89,1021d73,swift ground truth: expand hand-verified corpus to 4 frameworks + regression test
21615ef5d75fa571e22dc018b751cc4c15dd9f14,bc3b0da3ca494150b3064158651bd258f4ba2ccb,bc3b0da,"writeTo walk: capture late/adrp-only base regs, thread base state across blocks (+49 fields)"
221635199653fdbbe25b87b7998712ad219f8d0e,54b4ae198487eea503ebbd11bead92b3851894df,54b4ae1,refactor: extract Mode-B/C enum-debug record builders from _collect_enum_definitions
22843555a63294534de9f7fe44b8dd79b06ea51d,e368a6b9645cbd76fb843a5654d156f244b971b3,e368a6b,Add requirements.txt pinning project + geo_traffic deps
232382459979afc52f307e0669269fb15cba8b5f,ccfbb56b74851af2c6dd52c755982154499ecae3,ccfbb56,"feat: resolve the relative-selector anchor from documented dyld/objc fields, not just a byte-scan estimate"
23255c9142f548e17a7d1a3cf37079fb8646ace7,76b64e65f2f47cec59796f8c8575f07882bbb388,76b64e6,swift: detect Array/Dict mangling prefix from raw bytes (#69)
23dde4913a189e9b97a93b896d7d96da9d81c04d,a1b62d1adbe695258999e47fb24c3bb1d6f0ec54,a1b62d1,cap-stack-scratch: reaching-definition of x1 replaces window=5; retire last cap REPLACE
23f3e4f9ceba3cd4a4abc1637c338ccb0a456fcf,9dabb065ab4d23b29e3f6004ddfa352652eb3b13,9dabb06,test: add opaque-passthrough detector live tests
242e35e5efcfd441ec4d1b89edfb649814c7ee0a,6345353416cb737728105bf08cd9c258c63169ed,6345353,remove the inert pointer-table field-number path (dead since the writeTo walk)
24b602275d90d72015377171e3b5b23c75c260e6,53c461cc22f28e0020a466b451650226eacc4f83,53c461c,#11 step 4: carve repeated-field element-type resolution into proto/repeated.py
2507d871b3e126a9c18d10bb5b349ca749292b0c,714d44e996f5f19dfe6c873e333be1aa2409b9c6,714d44e,Phase B / B8: CFG walk is the sole writeTo decoder (delete forward scan + budget caps)
262b3507b1c8cdd5ac1f28c478ee84e67dc06da5,12393ad2430c6581258ecb8c36fe3b4d77b08b2d,12393ad,test: register tests.test_opaque_passthrough in the run_tests.py module list
267f3a17a35f87946c931159bd1aa91392abea76,d239acf0203a33793e5ad187b482e0ef93b21c15,d239acf,geo_traffic: Stage A capture pipeline for .mitm protobuf/ARPC traffic
284e018d11427e2b50909bf94f76f135d77746e2,f6de32da154b796188abf693ad8de4fc40278387,f6de32d,"refactor: unify compare-chain field attribution on dominance, retire the address-range decoder"
285c9011a800b443d0a9d05a67c7c959c2ed1767,e5d8228722ed1e02cb7dcbf7d4105e04b7a6fa82,e5d8228,Adopt pytest as a runner; fix dead TestBinaryContextFromCache fixtures
28eb8ea971879087b45bf5a4d3f5ecab8a24afbb,e42ddab33e2cc61c0f664b1e1e692d0f71fe6e5a,e42ddab,proto_diff: consolidate imports to module top
29bdfc0056d2a8eeba50e6ed4159cd6313bb5bdf,fed42263c7a3c330b7acd981435463f7f7b9bed8,fed4226,docs: flag encoding-ambiguous int family + output caveats (code comment + CLI help)
2b7078a79d63adf0c1b5d806a81c8c538c17a655,fb9647f6e19322349f1b809fe443fa5ebfd9d39d,fb9647f,enumbase-regguess: remove register-priority table-base guess; retire REPLACE
2c4f62302532c343236d970a62de74b46e0c13f6,a91feeb446a14c791896c688a96d8a756abd55ed,a91feeb,refactor(P2): centralize ARM64 decode constants in arm64decode.py
2db4a26eefef4d5491b18b0013a692b900a5c958,34d2d3db888f0397777bbe208bf52ba13b9b9fc4,34d2d3d,poc(#42): general br-table CFG completion fixes jump-table-hybrid cores
2e8f4ea6ba64a08061c7a2fa03e161fd47dc8442,feae699f35b81c06dbef3565f956458d6e4cfc32,feae699,#60: principled field label + admission — storage-shape only (drop name-shape heuristics)
2ea701272979131cc73a634e6d62f51ba01c0f89,408961e849dc5dab30c98657af2ed0652ea57e64,408961e,Note that _is_valid_enum_string is just a sanity check
2fd6ec3d396ff90f1a4a409963614b98ab073a95,078376a3016064ca302b7c717a98f470765db658,078376a,"proto_diff: make it an installable package (pyproject, smoke fixtures, version)"
305ab7a579336e38cfd50045e60f58a6f04809f2,f71fcf94acea8b84fb81382a9cd413667813a3d3,f71fcf9,doc: refresh REPEATED_BYTES_NAME_RESOLUTION_FOLLOWUP + promote principled resolver to TODO #39
30633343948c2eb4aa4f6f33303acbe930c704fd,a06a6a46057d1432d37044f49a12c1677f7225c5,a06a6a4,poc(#42): standalone readFrom CFG/dominator resolver oracle + plan findings
3157b8f7b2c039cc3282c4ca9440a8b8eec5e84c,1dfcf4ac0e0c16f362b464ed0b60941050d58d03,1dfcf4a,swift-protobuf: recover message field names+numbers (3 codegen shapes)
328410db3fc75688bfa54c22d78583e165f57665,d5deb5bfbc26a98d9ee87113ad2b22f668c4ae6f,d5deb5b,"notes/registry(#42): mark DONE — dominance landed byte-identical, degenerate-partition deleted"
32e0b701b6c53f330cfe28ce2f5d4baa49183752,bbe9589043f79d4aeedf3c882c66fa2de18a1c1c,bbe9589,notes: merge session + project to-do lists into one canonical TODO.md
33cf72ed27974ca432aa51bc2b6fbc5e7a05d0e7,d24e5552c4d948da7b87fb685269880503120317,d24e555,docs: correct field-0 ground truth after full spot-check (#52)
34c31792baa3e0d43eb2a7254183795b8c5f20c9,3ab314bd1df58b6b66d92cbce54c5581ba717dea,3ab314b,#44: recover fixed32/fixed64/sfixed* from the writeTo helper
3862f15b339eb9dafdbadb0ab25ccb3b67c10f07,5f0efac71bdec45911fa73b7c5de8fba47506ea0,5f0efac,proto_diff: expect the renamed apple-protobuf-extractor distribution
3cad2bea526aee3f69012d67995b1c5e08cb309b,a2506a77fc6899cc1ca5ed3cbaaf71126a87afde,a2506a7,notes(#42): faithful PoC-vs-extract_all sweep result
3cb2bc07f7faefb2478dc94e3b1ed998b6df2ff3,f8e010646343e1f97f4f1b6e8ebce0ceffdcab7d,f8e0106,docs: defer #50 (proto subclass field inheritance) as an accepted limitation
3cfb3ef622a5d609803e22bb420d87ed983021c8,fbad307338ba3c9b56abee07ecf54165cb6174ce,fbad307,readFrom(#42): dominance attribution replaces address-range; delete degenerate-partition guard
3ec9a792e29de98da54e17b42ce96f65017aa0d2,4aa4f8e572f56a7cad6493f0032760af9f302dd4,4aa4f8e,docs: add PBCodable wire-format explainer + measure protoclass heuristic contribution
3f1a6dd39e6e83151b7277a8ffb6b285c54a5083,db849b984bbe87c326e7a41de448e790b733bb88,db849b9,notes: add TODO #42 readFrom CFG/dominator resolver plan (PoC-first)
411c8ce086175a6b9a8defb16f6ab709e0e4e20f,30d7bc6e80d07ce7ebd106ef9f7ff4864202063d,30d7bc6,docs: consolidate apple_protobuf_extractor's own referenced notes into apple_protobuf_extractor/notes/
41f41f4960b8d8c6d702331f2f1370cf3373a636,288a6d099f94efceed9b6bd46e16b8c034f82b8b,288a6d0,heuristic_freq: trace all proto/*.py so the registry overlay stops reading 0
42878fcf39973a0d2ec907662f9434f2692cb176,52977b9df262fef3601be7ae3e522c9b94df8d1a,52977b9,Fix two regressions: #46 synthetic-class gate + run_tests pytest fixtures
47d47dbe70c3bfa6578029e9cbed1ad5ee34cec3,dcdd0e35361b54beac006ba0b696b4a6c785f371,dcdd0e3,refactor: extract _resolve_dispatch_context + _emit_mode_a_debug from extract_proto_message
48c18fc9b9c43275bf6402206b8c8fdae1dab35b,edd85054dee8b026df8e6131f26c3068012e14a6,edd8505,TODO #38 (sint): recover sint32/sint64 from the writeTo: zigzag helper
4ab550a342cfba02c18e77a4c76371dfa9256a58,c01c3fe0964bc15c177077e05dd51d36ec201eb0,c01c3fe,Document packed-ptr scope: ex-cache dylib only (binary mode)
4b022add6dd9454efb0f1929d11773aa5fb90f6c,1018fd577f51ff04db64f6eceea7739beb425d46,1018fd5,proto validation: full discrepancy adjudication + classifier-bucket glossary
4c44967675ea01c3b87433c05af96c3503541a74,8d571cc2fbf9a4a674e2a915dd42fab64574bfc6,8d571cc,Phase B (a)+(b): close 11/15 walk misses (output-neutral)
4d0ba1a5598797785a6b7f2a0c4396d494f01337,f29ffe8aad3c9c1f52c154578d6cd64cc0155f86,f29ffe8,proto validation: full Hopper adjudication of individual type disagreements + MISSING glossary + TODO #37
4dfd191131a08bdeb6ab2c0102c826e081bb4aba,1c05a7b93b8be550f44b6aab8404ec16b53d14e9,1c05a7b,writeto: resolve PC-relative literal ivar-offset loads (binary-mode field# confirmation)
4ea594735a00ac4c3ad8b7720818338d072da742,0b5c4510042822c3b48c2545ec32c50d76006337,0b5c451,#2 (first batch): synthetic unit tests for dense decode/naming heuristics
4f5a7697573e720fdc0e8b6235d02ba24a9c2dd0,0dd55b5cafd5a78f91c4d5b0d1dc1e54309936fe,0dd55b5,chore: rename distribution from macho-extractor to apple-protobuf-extractor
4fab8ea492b5de10e78503d6424f87868a2d757a,9f08ffe8eb7248c2e6b3c3cc0c4c8c7142833829,9f08ffe,"#59 cap-ptrtable-512: route enum extraction by structure, not a magic 512"
50836b569fe820080ff3b18b8b101d822faa5af7,8a47ffac44afc2b066582ea359c03409ebf87d6a,8a47ffa,heuristics: land cap-indegree structural bound (#59); mark the #42 cluster
5155cdd3166098212a04604dec799392a9738591,2bad9e6c3b976a6c475a0455a92b5776aa0e23c1,2bad9e6,refactor: split cli.py main() pipeline into named stage helpers
515ba078cd567fc9f2c0eaf3174a2a89537c8d34,f1f3236246f672bed6ffbe27ea22c5ed01d9ea93,f1f3236,fix(detector): tighten _is_proto_flags_ivar to the flags-struct opener
52367c81553ded0c4d729df94bef7adbdff03b80,a3ea26e8a21309b71c2ba8e4c3ac606a02a55076,a3ea26e,fix: decode cache direct-selector names from the 🤯 relative-method-selector base
52cceee60ee58c29810d7534ab0c22a632776f17,a69f8ac063694280bf2af840f295c6dee7a1513b,a69f8ac,#47: jump-table enum table base from the scaled-index load (REPLACE->PRINCIPLED)
530db9efdeb105a7a91abcfe69e994c69d93c131,521b178c8771525e6433ad089fdc9a21f7c84ca2,521b178,cautious: flag swift runtime-_NameMap fields when the builder read was truncated
53d71753a4e3b5d071e486106e5cafa983d607cc,0c0d906ba7577bec2fdef0333f4ea042660eead0,0c0d906,geo_traffic: wire-vs-schema verifier + tool .proto corpus (Stage B #2)
54a2d8cac370f29e1f10b6ebe826ba00c8fcdc52,adb8747f0acd3153919247643d1cb2fbe0975f45,adb8747,foreign-protobuf detection + mitm textual-CT veto
54fcc31c450a17d94a33c335b21568a34c1a8b56,9fdb74dde9bc56e7d625f7e7237e6ada6085bfaf,9fdb74d,census_enumname: fix module-namespace monkeypatch so the census runs
55c23fd30cabc8792d21bd4bc66547058eeb4907,5bd2d0a63742d949406402c0973ed2a3a508582f,5bd2d0a,refactor(P3): merge the two sub-#imm12 bias scanners into _sub_imm_bias
563c05e2dba48334d9f72b09eb37afaea8f33bf7,552f439d7dc9e46c044afd31921e5b3f97f63604,552f439,"docs: correct geo field-100 case — opaque PBUnknownFields passthrough, not wrapper delegation"
5643cb77c143c638520ed282017a49b793ea5449,6816f54488422397e6c9717d4a6a291a3af0a845,6816f54,chore: retire find_protobuf_for_url (archive + untrack)
56a1280906a9f7c717cba89cdd9c81497d2f0b85,e37fdff046516134b07873ccf7d722dffbe61ab6,e37fdff,enums: split the sparse-enum jump-table harvester into focused helpers
56c0e9c5c4c6e8c4fc65949a29c60fae1fa659c5,76da166014002a52693c47da9f7608166decb277,76da166,Add adder→ivar lever: bind repeated-message element types by ivar
58d6f0bd6eba0a2f44049d918678164fc71bba26,6204ededc0947d0ec84ee032ffbdc2c8134b1fcf,6204ede,"notes: track #58 (jump-table enum function-extent bound, #53 residual)"
5923e620de4e314445f2f5d20cef7082e6302f63,c1310096b7dd8ba0328082738a4b3850731c27ef,c131009,"notes(#42): PoC fixed for jump tables — pre-swap AGREE=400 DISAGREE=0, swap now viable (plan 8g)"
59a9c489c03d321373e3c61335e35c0f1111ba63,db4200dd234a78bc76a455eb7d3bc5c480ef0447,db4200d,Annotate (don't drop) unresolved object ivars; remove the casing heuristic
5aad3630f21eebac6a84d0d7d1de448c1572cda1,9224ae16018cd0e62e6074848d8fd4197a8c5679,9224ae1,Consolidate the proto extractor tests into tests/ (step i)
5b434482d2e92416ebf452e0d8ce9849f11c2158,f7b08d0f9250e60e0cf3f5ea91f2efa4ae312860,f7b08d0,Relabel naming heuristics PRESENTATION; document reconstructed package name
5bad7c9f86fc5a5b431531166bba2cbccc521d65,88a92ff427c5cc9b6126eea7cffd3adb5cbb23dc,88a92ff,Disentangle proto.extractor imports: stop using it as a re-export facade
5c7b37b3bfe694d5b66a6f42af5e44d35641f09b,3bfa742c1a827c0c9bacdf8c187566edb4528fb7,3bfa742,enums: bound xAsString: jump-table harvest by function extent (#58)
5eef41bbb35f40bf3cf49b9ec088b06ce8d5926d,62d86d19cc596b5aa33f63ec966d28a80ec054e0,62d86d1,proto_diff: refresh README for the submodule split
605688324a770d503b51f115d6eec813bd1e4dd2,e87bdb9df6bc0eaacd78140ef89c51303884d5f5,e87bdb9,Retire mitm_traffic_parser: untrack + archive
6122d84c602b6e5824091361e8be3c5dc1f55a5e,8df356f651b86e9fe0e7dc55d5ba4885fa888781,8df356f,proto_diff: move tests into the package folder
619fcb2265bbc3818e8cf6b6c0226c55204c82d4,bce90e90f9ef69a95c171fbd70f3509fc186ad07,bce90e9,#59 cap-detect-context: delete the redundant prologue base-register seed
64949f3e2bd6e89edd738c85510ca54faf67ba38,090170c29fa3ead344ffe249caa100b31b1ed117,090170c,Tag _SPARSE_MAX_INSNS as tier-1 AFFECTS-OUTPUT
64dc60beace2d299090c1029ff2d667f8e38781d,c244c9567614a0ee2bda42a0c8a55448131b0af4,c244c95,#10a: replace the _ADDER_MAX_INSNS output-cap with a structural first-match
65365590d0b16caf1a79219a2cd6ed6b63476429,fe34fdf2fb2a95719b9209bf5a0c2975733ab959,fe34fdf,"Surface unresolved field types in the descriptor (enum reverts, repeated bytes)"
65677e2815913689de617a82416fe4a084c8ed01,b638ca52a7a7c84d9be49b3baea1d754bada9612,b638ca5,style: trim excess blank lines in proto/dispatch.py
656e925f9fb98637b3086acd7e89801801c89c3c,f33336b918d999bda5c4c367044dd22a6f2fd7b2,f33336b,robustness: don't let blanket excepts mask our own bugs (re-raise + log)
65a8e42dc7637ba19305aaa08a75d8f360874268,8885c40a49e8a6907e9fcf6ab2427d443b268712,8885c40,test: golden + snapshot coverage for opaque-passthrough messages
65e3a5407b77943d85cf32655c7e52d48f5d3864,8aeb12cd41fac4f9a11572828e583cf9b3c5b701,8aeb12c,polish: fix stale registry string + add descriptor-decoder fuzz tests
65e40a2bdcd3ec8e6bd80e8127aee52bfd25c7c8,86b5954df005def6994c0a7f50aa1c94383c9caa,86b5954,enums: recover comparison-tree (idiom-B) jump-table segments
661279a3e362cbbb6008892a1d025201616b4eb9,657d91524357fbe523669a2986ed7405babea77c,657d915,Remove four dead heuristic-registry rows (no-symbols cold fallbacks)
6634d0983841d43962b6c8126755b21373ed5798,54c2a120f84d2f1802eadf1b581583f759f61e0f,54c2a12,Heuristics/caps transparency pass + repo tidy
6656c9c9ca6018074a433f44a58317442730e0b9,26666856513552b7ec0e1ad1b1d52d74e4587249,2666685,"Fix compare-chain dispatch: attribute fields by control flow, not address order"
667e643e51530beaa98f13beba89a27e97f11824,be2e3771f29d65bfb89640d09d9e3cc64cfe7f34,be2e377,"Read enum strings by section dispatch, not trial-and-error"
66bd4431933ffd8fe904f09a83e8dfb844330afd,f46c3f52bf33432377dbdb6a803aee460887808b,f46c3f5,#1 test realignment: import moved helpers from their real modules; shrink __all__
6700937b3e41db46189e49c48e97d1eceea7c403,43446c2f2b4f61a2230dfbb6c39aacf79194291b,43446c2,swift: recover COW _storage + oneof field types (#60)
67df5adc8576ab07c6f9f45837b48d44c4e0fd55,0311ae22acde487947dfb9b6595805f8ab29d613,0311ae2,refactor: centralize ObjC struct offsets + dedupe the gt cache loader
68987e972bd407d1a6a9cbb50df731cea78396e4,3b0f9b2a09a325c2ad9ff560efd20f061b4d1a3c,3b0f9b2,mitm_traffic_parser: relocate captures to iphone8_data/captures
6b506383dd008fa00ab6eb7ae8383ce8758dee8d,715c08ec117243a2040a76000e6afc9bc0673522,715c08e,Remove forked writeTo prototype + stale oracle; unit-test production directly
6b8f2c4ae63551350400316fd38b6276119d5a10,0a053846ff79ba953988974d3e4e56c533de3dd6,0a05384,extractor: document map<>/inline-struct/delegated-field as accepted limitations
6d48e0dd20eba12308f53f8235e788b05c42b999,558b11ed85b2745af65671483e0d9d97783af259,558b11e,harden(detector): system classes are never a PB-cluster root
6e4424c8692389eb0b4d6d5f724aa0d463a0d1d3,bc25eeb6d47d2b0e303bfb57464babbaeae0c9f3,bc25eeb,"proto validation: retract version-skew, add geo1 regression check (no regressions)"
6eb006c8c18899af238dd861c18115455b4d3186,1cba56b3912fb0ac952baad7f3e96b554b0732cf,1cba56b,#11 step 2: carve the proto-class/ivar/type-encoding kernel into proto/protocore.py
6ed71b8f20a8b1a6e729b8afc899dc8add7de7a3,2c163272834874850c1ebdc1569f969520df3dea,2c16327,urlproto: new package — URL/name → req/resp format + protobuf finder (M1–M3 + dispatch tracer)
73da205bb505792b130df8a91049a9924dc7a0c8,0e986a784dfb1b473026ec98be458b840a6f2910,0e986a7,"notes(#42): correct verdict — regression cause is FIXABLE (general br-table CFG completion), parked on cost/benefit not feasibility"
73e57b9232c817e3e8995b7e0337003006c3c873,2d018f28c9ab66973789ba9fbafb811548442797,2d018f2,docs: record #15 test-suite realignment done + re-import shim-trim follow-on
750740f1b207dc6ba7bcd114b10031556443d1bc,799093cef9755bab284b37191a1c68810d681422,799093c,"gitignore: ignore .mitm captures, geod binary, out_* output, coverage"
7519a680afd3aa0bc5087d5bbac84ae679ca89b1,ea701410acbbfb865141b11156d280b03d220d5d,ea70141,readFrom #39: resolve repeated-msg elements via thick-wrapper→compare-chain cores
755954e42191d39c5e5dce542dff49970cbde7c4,d00e3c1575930f1537a4dc69c85b5e5cfe865732,d00e3c1,notes: retire #54 and #58 from the active list (both DONE)
75c13ea2107e4a1020e9772331a0912a2b50339a,6f82471acc2eff2e1b55a236186a89e5062d55a3,6f82471,"swift: recover runtime-built _NameMap field tables (#72, #70/#71)"
784998404c0a1f968ba2ed1eedd105a93179190d,ceb2793a11ffd1ec1c6232018193ce01f8ebabc8,ceb2793,swift: flag undecoded container-element bytes fillers (#67)
79ad27c0e2458b54da73eb378ed255ce27f37c33,38d23e69fb39a91866bb4cbc8406535627f237aa,38d23e6,refactor: extract writeto_walk's worklist bookkeeping into a named LazyWalk primitive
7a1f7562f9e4e065c698876757f4a889674eb8c6,1416ef073280bea7fb604b1822f2e6f07978ac3c,1416ef0,notes(registry): record protoclass-seed scope + the principled alternative
7a8839c207d448b007d48cb73b166a6a248337e1,05123309f5b39ba9de467ea122277c997ac85457,0512330,proto_diff: add README documenting package layout
7bedba476ac0d9c46a86b606b698214a41deb7b3,655da24ac6c2772cdd76430a959edc575dd80bd1,655da24,Phase B / B7: walk captures its own _out_helpers (2 type improvements)
7c6e651e645ecfcddf5a292b17712e06e3cf77c7,c3b3ab7d5f02a67c226c4e73a35708493acd6121,c3b3ab7,swift map<>: decode run-length standard-substitution (#66)
7f4c007c7cfd3c587b8fd57e8ba43df1dde167ce,1a3819e6bf7f05cef76b2c09890398f9df77c743,1a3819e,"docs: refresh the four READMEs — accuracy, cross-platform, front-page ordering"
8000a2db746239d5d21c0a4fc2ed5fd8d211ceb1,994c9ac45d2c64d2c9addc12715e9c182acfa9b7,994c9ac,"docs: requirements.txt — full-install floor is Python 3.12 (mitmproxy 12.x), not 3.10"
8157052cd4db97e6c71a3230f510e5ca5d33beb6,7c1f01fb8fdb62a1f2b023586ab610de9d6ca2db,7c1f01f,Phase A: merge CFG-walk over the writeTo forward-scan decoder
836992d6f8836ae8a235d08506c7e5fed5271107,517aca400008682c01c4feccddcd99e23af2187b,517aca4,swift/C++ protobuf: field types + cache-native extraction
86995ed86d2f25a579809edd900cd05cbad97669,9a200365af93c4a4a7868f0e4b83d601899aa972,9a20036,Move auxiliary dev/diagnostic scripts into macho_extractor/
8778e605104bb16fb08e578a267544e6077999e2,837da717c43d99fd649bfe5a6afe39f57bc76949,837da71,chore: remove three dead-code items (post-review cleanup)
8c38dcdec7e14cfe9af8aa216a9a04ed60efce04,8221f365cf94130ca002cab760f83517b1f767f0,8221f36,TODO #41: note these map fields are the clobbered-self/sub-writer classes
8c8c4bae105ca73303e3b0be55468e1e163ba615,f69572b9aead5b67a15c9b7109997c40e7bdba62,f69572b,"build: refresh + relax requirements.txt (stale comments, == -> >= floors, python note)"
8e5da8de7e017ae29bdf705fc04ce6c708c71373,b7ca49c112dd1583d41c36e54d474b60c3c15904,b7ca49c,refactor: single source of truth for the jump-table count-from-gate convention
